Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
XM Marshall,157*,157,131,1,1,118,11,12,133.05,1,v Canada,King City (NW),2008/08/22,West Indies,0,1,150-199,,,,,,,,,,
BC Lara,156,156,176,1,0,138,12,5,113.04,1,v Pakistan,Adelaide,2005/01/28,West Indies,0,1,150-199,,,,,,,,,,
CH Gayle,153*,153,225,1,1,160,19,2,95.62,1,v Zimbabwe,Bulawayo,2003/11/22,West Indies,0,1,150-199,,,,,,,,,,
CH Gayle,152*,152,220,1,1,153,12,3,99.34,1,v South Africa,Johannesburg,2004/02/04,West Indies,0,1,150-199,,,,,,,,,,
CH Gayle,152,152,-,1,0,150,17,1,101.33,1,v Kenya,Nairobi,2001/08/15,West Indies,0,1,150-199,,,,,,,,,,
S Chanderpaul,149*,149,233,1,1,136,16,3,109.55,2,v India,Nagpur,2007/01/21,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,140,140,162,1,0,127,12,5,110.23,1,v India,Ahmedabad,2002/11/15,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,135,135,175,1,0,129,9,5,104.65,1,v New Zealand,Napier,2009/01/13,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,133*,133,197,1,1,135,17,3,98.51,2,v South Africa,Jaipur,2006/11/02,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,132*,132,212,1,1,165,12,1,80.00,2,v England,"Lord's",2004/07/06,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,132,132,219,1,0,152,7,2,86.84,2,v South Africa,Bridgetown,2005/05/11,West Indies,0,1,100-149,,,,,,,,,,
WW Hinds,127*,127,195,1,1,141,10,4,90.07,1,v Zimbabwe,Harare,2003/11/29,West Indies,0,1,100-149,,,,,,,,,,
S Chanderpaul,127*,127,201,1,1,138,5,2,92.02,2,v Zimbabwe,Harare,2007/11/30,West Indies,0,1,100-149,,,,,,,,,,
WW Hinds,125*,125,-,1,1,140,5,6,89.28,2,v Australia,"St George's",2003/05/30,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,124,124,190,1,0,137,13,0,90.51,2,v Pakistan,Gros Islet,2005/05/22,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,123,123,187,1,0,130,18,2,94.61,1,v India,Kingston,2006/05/18,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,122,122,200,1,0,137,5,6,89.05,2,v Pakistan,Abu Dhabi,2008/11/16,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,119,119,175,1,0,151,8,2,78.80,1,v Kenya,Kimberley,2003/03/04,West Indies,0,1,100-149,,,,,,,,,,
BC Lara,116*,116,143,1,1,106,10,2,109.43,2,v Australia,Sydney,2001/01/17,West Indies,0,1,100-149,,,,,,,,,,
S Chanderpaul,116*,116,81,1,1,122,9,3,95.08,1,v England,Birmingham,2007/07/04,West Indies,0,1,100-149,,,,,,,,,,
BC Lara,116,116,181,1,0,134,12,2,86.56,1,v South Africa,Cape Town,2003/02/09,West Indies,0,1,100-149,,,,,,,,,,
BC Lara,116,116,-,1,0,106,8,2,109.43,1,v Sri Lanka,Bridgetown,2003/06/08,West Indies,0,1,100-149,,,,,,,,,,
RR Sarwan,115*,115,-,1,1,119,10,2,96.63,2,v India,Basseterre,2006/05/23,West Indies,0,1,100-149,,,,,,,,,,
BC Lara,113,113,105,1,0,82,14,3,137.80,1,v Zimbabwe,Bulawayo,2003/11/22,West Indies,0,1,100-149,,,,,,,,,,
