Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
JC Buttler,162*,162,107,1,1,70,7,14,231.42,1,v Netherlands,Amstelveen,2022/06/17,England,0,1,150-199,,,,,,,,,,
DJ Malan,134,134,189,1,0,128,12,4,104.68,1,v Australia,Adelaide,2022/11/17,England,0,1,100-149,,,,,,,,,,
DJ Malan,125,125,206,1,0,109,9,3,114.67,1,v Netherlands,Amstelveen,2022/06/17,England,0,1,100-149,,,,,,,,,,
PD Salt,122,122,137,1,0,93,14,3,131.18,1,v Netherlands,Amstelveen,2022/06/17,England,0,1,100-149,,,,,,,,,,
JJ Roy,101*,101,127,1,1,86,15,0,117.44,2,v Netherlands,Amstelveen,2022/06/22,England,0,1,100-149,,,,,,,,,,
JC Buttler,86*,86,84,1,1,64,7,5,134.37,2,v Netherlands,Amstelveen,2022/06/22,England,1,0,50-99,,,,,,,,,,
JE Root,86,86,116,1,0,77,5,2,111.68,2,v South Africa,Chester-le-Street,2022/07/19,England,1,0,50-99,,,,,,,,,,
PD Salt,77,77,97,1,0,54,9,0,142.59,2,v Netherlands,Amstelveen,2022/06/19,England,1,0,50-99,,,,,,,,,,
JJ Roy,73,73,73,1,0,60,13,1,121.66,2,v Netherlands,Amstelveen,2022/06/19,England,1,0,50-99,,,,,,,,,,
SW Billings,71,71,109,1,0,80,3,2,88.75,2,v Australia,Sydney,2022/11/19,England,1,0,50-99,,,,,,,,,,
LS Livingstone,66*,66,26,1,1,22,6,6,300.00,1,v Netherlands,Amstelveen,2022/06/17,England,1,0,50-99,,,,,,,,,,
JM Bairstow,63,63,112,1,0,71,7,0,88.73,2,v South Africa,Chester-le-Street,2022/07/19,England,1,0,50-99,,,,,,,,,,
JC Buttler,60,60,129,1,0,80,3,2,75.00,1,v India,Manchester,2022/07/17,England,1,0,50-99,,,,,,,,,,
JM Vince,60,60,118,1,0,72,3,2,83.33,2,v Australia,Sydney,2022/11/19,England,1,0,50-99,,,,,,,,,,
PD Salt,49,49,41,1,0,30,9,0,163.33,2,v Netherlands,Amstelveen,2022/06/22,England,0,0,0-49,,,,,,,,,,
MM Ali,47,47,81,1,0,64,2,2,73.43,1,v India,"Lord's",2022/07/14,England,0,0,0-49,,,,,,,,,,
JJ Roy,43,43,86,1,0,62,3,1,69.35,2,v South Africa,Chester-le-Street,2022/07/19,England,0,0,0-49,,,,,,,,,,
MM Ali,42*,42,44,1,1,40,5,1,105.00,2,v Netherlands,Amstelveen,2022/06/19,England,0,0,0-49,,,,,,,,,,
DJ Willey,41,41,69,1,0,49,2,2,83.67,1,v India,"Lord's",2022/07/14,England,0,0,0-49,,,,,,,,,,
JJ Roy,41,41,52,1,0,31,7,0,132.25,1,v India,Manchester,2022/07/17,England,0,0,0-49,,,,,,,,,,
JM Bairstow,38,38,70,1,0,38,6,0,100.00,1,v India,"Lord's",2022/07/14,England,0,0,0-49,,,,,,,,,,
LS Livingstone,38,38,40,1,0,26,1,3,146.15,1,v South Africa,Manchester,2022/07/22,England,0,0,0-49,,,,,,,,,,
DJ Malan,36*,36,83,1,1,50,1,1,72.00,2,v Netherlands,Amstelveen,2022/06/19,England,0,0,0-49,,,,,,,,,,
SM Curran,35,35,29,1,0,18,2,3,194.44,1,v South Africa,Manchester,2022/07/22,England,0,0,0-49,,,,,,,,,,
DJ Willey,34*,34,55,1,1,40,3,0,85.00,1,v Australia,Adelaide,2022/11/17,England,0,0,0-49,,,,,,,,,,
MM Ali,34,34,65,1,0,44,2,2,77.27,1,v India,Manchester,2022/07/17,England,0,0,0-49,,,,,,,,,,
