Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
JP Kotze,101*,101,-,1,1,43,7,9,234.88,1,v Botswana,Windhoek,2019/08/20,Namibia,0,1,100-149,,,,,,,,,,
SJ Baard,92,92,-,1,0,58,6,4,158.62,1,v Botswana,Windhoek,2019/08/22,Namibia,1,0,50-99,,,,,,,,,,
MG Erasmus,72,72,-,1,0,46,5,4,156.52,1,v Singapore,Dubai (DSC),2019/10/26,Namibia,1,0,50-99,,,,,,,,,,
CG Williams,68*,68,-,1,1,31,5,5,219.35,1,v Botswana,Windhoek,2019/08/19,Namibia,1,0,50-99,,,,,,,,,,
SJ Baard,60,60,-,1,0,46,1,3,130.43,1,v Botswana,Windhoek,2019/08/19,Namibia,1,0,50-99,,,,,,,,,,
K Birkenstock,59,59,-,1,0,28,6,4,210.71,1,v Uganda,Kampala,2019/05/21,Namibia,1,0,50-99,,,,,,,,,,
JJ Smit,59,59,-,1,0,25,3,5,236.00,1,v Oman,Dubai (DSC),2019/10/29,Namibia,1,0,50-99,,,,,,,,,,
MG Erasmus,56,56,-,1,0,27,5,4,207.40,1,v Botswana,Windhoek,2019/08/20,Namibia,1,0,50-99,,,,,,,,,,
N Davin,54,54,-,1,0,32,2,4,168.75,1,v Botswana,Windhoek,2019/08/20,Namibia,1,0,50-99,,,,,,,,,,
SJ Baard,52*,52,-,1,1,34,5,3,152.94,2,v Ghana,Kampala,2019/05/20,Namibia,1,0,50-99,,,,,,,,,,
MG Erasmus,52*,52,-,1,1,25,4,3,208.00,1,v Kenya,Dubai (DSC),2019/10/25,Namibia,1,0,50-99,,,,,,,,,,
SJ Baard,51,51,-,1,0,39,8,0,130.76,1,v Kenya,Dubai (DSC),2019/10/25,Namibia,1,0,50-99,,,,,,,,,,
MG Erasmus,51,51,-,1,0,34,7,0,150.00,2,v Ireland,Dubai (DSC),2019/11/02,Namibia,1,0,50-99,,,,,,,,,,
MG Erasmus,46*,46,-,1,1,33,4,3,139.39,2,v Botswana,Windhoek,2019/08/23,Namibia,0,0,0-49,,,,,,,,,,
CG Williams,45,45,-,1,0,41,2,3,109.75,1,v Oman,Dubai (DSC),2019/10/29,Namibia,0,0,0-49,,,,,,,,,,
JJ Smit,43,43,-,1,0,22,1,4,195.45,1,v Scotland,ICCA Dubai,2019/10/22,Namibia,0,0,0-49,,,,,,,,,,
N Davin,39,39,-,1,0,24,3,1,162.50,1,v Botswana,Windhoek,2019/08/19,Namibia,0,0,0-49,,,,,,,,,,
N Davin,38,38,-,1,0,28,4,2,135.71,2,v Ghana,Kampala,2019/05/20,Namibia,0,0,0-49,,,,,,,,,,
