Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
GJ Maxwell,120*,120,70,1,1,55,12,8,218.18,1,v West Indies,Adelaide,2024/02/11,Australia,0,1,100-149,,,,,,,,,,
DA Warner,81,81,60,1,0,49,9,3,165.30,2,v West Indies,Perth,2024/02/13,Australia,1,0,50-99,,,,,,,,,,
MR Marsh,72*,72,81,1,1,44,2,7,163.63,2,v New Zealand,Wellington,2024/02/21,Australia,1,0,50-99,,,,,,,,,,
DA Warner,70,70,58,1,0,36,12,1,194.44,1,v West Indies,Hobart,2024/02/09,Australia,1,0,50-99,,,,,,,,,,
TH David,41*,41,31,1,1,19,2,4,215.78,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,39,39,35,1,0,25,5,1,156.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
TH David,37*,37,32,1,1,17,4,2,217.64,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
DA Warner,32,32,33,1,0,20,1,3,160.00,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,0-49,,,,,,,,,,
TH David,31*,31,29,1,1,14,2,2,221.42,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,0-49,,,,,,,,,,
TH David,31*,31,17,1,1,10,2,3,310.00,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,29,29,18,1,0,12,3,2,241.66,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,0-49,,,,,,,,,,
GJ Maxwell,25,25,17,1,0,11,2,2,227.27,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,0-49,,,,,,,,,,
TM Head,24,24,16,1,0,15,3,1,160.00,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,0-49,,,,,,,,,,
DA Warner,22,22,33,1,0,19,3,1,115.78,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,0-49,,,,,,,,,,
MS Wade,21,21,21,1,0,14,1,1,150.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,20,20,28,1,0,20,1,1,100.00,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,17,17,31,1,0,13,2,1,130.76,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,16,16,18,1,0,13,0,1,123.07,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
MP Stoinis,16,16,32,1,0,15,2,0,106.66,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,0-49,,,,,,,,,,
AM Hardie,16,16,24,1,0,16,2,0,100.00,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
GJ Maxwell,12,12,21,1,0,14,2,0,85.71,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
GJ Maxwell,10,10,19,1,0,8,1,0,125.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
MP Stoinis,9,9,7,1,0,6,0,1,150.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
MS Wade,7*,7,13,1,1,7,0,0,100.00,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
A Zampa,4*,4,1,1,1,1,1,0,400.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,4,4,7,1,0,6,1,0,66.66,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,1,1,7,1,0,3,0,0,33.33,2,v West Indies,Perth,2024/02/13,Australia,0,0,0-49,,,,,,,,,,
SA Abbott,0,0,1,1,0,1,0,0,0.00,1,v West Indies,Hobart,2024/02/09,Australia,0,0,0-49,,,,,,,,,,
JP Behrendorff,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Hobart,2024/02/09,Australia,0,0,-,,,,,,,,,,
JR Hazlewood,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Hobart,2024/02/09,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,-,,,,,,,,,,
JP Behrendorff,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,-,,,,,,,,,,
SH Johnson,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,-,,,,,,,,,,
MS Wade,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,-,,,,,,,,,,
JR Hazlewood,DNB,-,-,0,0,-,-,-,-,1,v West Indies,Adelaide,2024/02/11,Australia,0,0,-,,,,,,,,,,
JP Behrendorff,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Perth,2024/02/13,Australia,0,0,-,,,,,,,,,,
XC Bartlett,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Perth,2024/02/13,Australia,0,0,-,,,,,,,,,,
SH Johnson,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Perth,2024/02/13,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Perth,2024/02/13,Australia,0,0,-,,,,,,,,,,
MW Short,DNB,-,-,0,0,-,-,-,-,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,-,,,,,,,,,,
PJ Cummins,DNB,-,-,0,0,-,-,-,-,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,-,,,,,,,,,,
JR Hazlewood,DNB,-,-,0,0,-,-,-,-,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,-,,,,,,,,,,
MA Starc,DNB,-,-,0,0,-,-,-,-,2,v New Zealand,Wellington,2024/02/21,Australia,0,0,-,,,,,,,,,,
AD Russell,71,71,52,1,0,29,4,7,244.82,1,v Australia,Perth,2024/02/13,West Indies,1,0,50-99,,,,,,,,,,
SE Rutherford,67*,67,59,1,1,40,5,5,167.50,1,v Australia,Perth,2024/02/13,West Indies,1,0,50-99,,,,,,,,,,
R Powell,63,63,60,1,0,36,5,4,175.00,2,v Australia,Adelaide,2024/02/11,West Indies,1,0,50-99,,,,,,,,,,
BA King,53,53,47,1,0,37,7,1,143.24,2,v Australia,Hobart,2024/02/09,West Indies,1,0,50-99,,,,,,,,,,
J Charles,42,42,37,1,0,25,6,1,168.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
AD Russell,37,37,18,1,0,16,4,2,231.25,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
RL Chase,37,37,27,1,0,20,3,2,185.00,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
JO Holder,34*,34,18,1,1,15,3,2,226.66,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
JO Holder,28*,28,25,1,1,16,3,1,175.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
J Charles,24,24,36,1,0,11,1,3,218.18,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
R Powell,21,21,27,1,0,14,3,0,150.00,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
N Pooran,18,18,38,1,0,17,0,2,105.88,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
N Pooran,18,18,13,1,0,10,0,3,180.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,16,16,13,1,0,8,3,0,200.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
R Powell,14,14,5,1,0,5,0,2,280.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,12,12,26,1,0,12,1,1,100.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
KR Mayers,11,11,13,1,0,7,2,0,157.14,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
AJ Hosein,7*,7,11,1,1,5,1,0,140.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
SE Rutherford,7,7,8,1,0,4,0,1,175.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
BA King,5,5,9,1,0,9,1,0,55.55,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
J Charles,4,4,5,1,0,6,1,0,66.66,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,2*,2,13,1,1,5,0,0,40.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,2*,2,1,1,1,2,0,0,100.00,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,2,2,9,1,0,3,0,0,66.66,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
AD Russell,1,1,2,1,0,2,0,0,50.00,2,v Australia,Hobart,2024/02/09,West Indies,0,0,0-49,,,,,,,,,,
N Pooran,1,1,3,1,0,3,0,0,33.33,1,v Australia,Perth,2024/02/13,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,0,0,4,1,0,2,0,0,0.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
SE Rutherford,0,0,2,1,0,2,0,0,0.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
AJ Hosein,0,0,3,1,0,1,0,0,0.00,2,v Australia,Adelaide,2024/02/11,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,DNB,-,-,0,0,-,-,-,-,2,v Australia,Hobart,2024/02/09,West Indies,0,0,-,,,,,,,,,,
JO Holder,DNB,-,-,0,0,-,-,-,-,1,v Australia,Perth,2024/02/13,West Indies,0,0,-,,,,,,,,,,
